"White Cloud"
"Soft Wind"
"Strong Wind"
"El Juego"
"The Game"
"Short Game"
"Long Game"
"wIse Choice"
"silly Choice"
"eAsy Task"
"hArd Task"
"cLeAr Sky"
"cLoudy Sky"
"hEavy Rain"
"lIght Rain"
"coLd Weather"
"Hot Weather"
"wet Ground"
"Dry Ground"
"gReen Field"
"Brown Field"
"El Viaje"
"The Journey"
"quick Trip"
"Long Trip"
"El Sueño"
"The Dream"
"sweet Dream"
"bad Dream"
"bIg Smile"
"small Smile"
"fAst Ride"
"slow Ride"
"bright Light"
"dim Light"
"El Secreto"
"The Secret"
"hidden Truth"
"known Lie"
"small Lie"
"big Truth"
"short Tale"
"Long Story"
"happy Story"
"sad Story"
"fresh Start"
"bitter End"
"El Camino"
"The Path"
"right Way"
"wrong Turn"
hola
Muy buenas amigos de youtube como estais
