"La Casa"
"tHe Cat"
"El SOL"
"The Moon"
"Piedra Grande"
"SmALL dog"
"lArGe Book"
"Pequeña ventana"
"Bright star"
"rojo Carro"
"Big TREE"
"Mountain High"
"Ciudad Pequeña"
"Green Grass"
"El rÍo"
"Fast CAR"
"Blue Sky"
"luminous Moon"
"Flor Amarilla"
"Dark Night"
"Sunny Day"
"aMaZing View"
"Deep Ocean"
"HAPPY Day"
"sad Moment"
"quick run"
"SLOW Walk"
"bright Sun"
"cOld Winter"
"warm Summer"
"fResh Breeze"
"cAlm sea"
"hUge rock"
"tiny leaf"
"High Hill"
"Lonely Tree"
"bUsY City"
"Quiet Village"
"noisy Market"
"Peaceful Park"
"El Arco"
"The Door"
"Happy Face"
"SAD Face"
"quick Thought"
"sLow Thought"
"deep Feeling"
"sHaLLow Thought"
"Dark Cloud"
hola
Electrocardiograma jeje salu2
